date,PM10,OC*,EC,Cl- ,NO3- ,SO4-- ,NH4+ ,K ,Mg ,Na ,Ti ,levoglucosan ,âˆ‘Polyols
09/03/2011,39.5,3.25,0.55,2.58,10.89,2.97,3.83,0.173665,0.215677,1.480489,0.009621,0.16783,0.01917
12/03/2011,31,4.18,1.27,0.93,5.49,2.26,1.85,0.171077,0.137307,0.600779,0.013684,0.28036,0.0235
15/03/2011,54.5,5.94,2.09,0.24,16.81,3.58,5.62,0.172565,0.086673,0.073205,0.01083,0.35968,0.04499
18/03/2011,40.5,3.24,0.62,0.48,13.92,4.69,5.87,0.076474,0.042957,0.284961,0.0052,0.17345,0.022
21/03/2011,64.5,8.29,2.37,0.36,20.44,3.59,6.92,0.19647,0.109915,0.222642,0.008667,0.57257,0.04969
24/03/2011,45,5.21,2.23,0.37,13.93,2.5,4.18,0.169029,0.11736,0.399878,0.011904,0.24607,0.02847
27/03/2011,45.5,5.48,1.19,0.28,19.37,3.98,6.79,0.147537,0.069567,0.191784,0.010249,0.2987,0.03462
30/03/2011,27.5,2.47,0.57,0.27,7.82,2.06,2.96,0.064934,0.029908,0.123913,0.007508,0.09879,0.03182
02/04/2011,19,2.44,0.61,0.31,4.83,1.41,1.73,0.068453,0.048364,0.257914,0.006186,0.0624,0.0498
05/04/2011,17,1.71,0.7,0.23,2.65,0.96,0.53,0.09188,0.102312,0.353442,0.012406,0.08129,0.01592
08/04/2011,34.5,2.68,0.94,0.47,10.56,2.25,3.22,0.105478,0.122852,0.609923,0.008486,0.0343,0.03303
11/04/2011,44,4.08,1.83,0.71,10.39,2.57,2.83,0.164482,0.159333,0.871857,0.01126,0.07441,0.02979
14/04/2011,23.5,2.71,0.98,0.22,5.97,2.15,2.02,0.086863,0.08155,0.393116,0.008446,0.11134,0.01723
17/04/2011,62.5,5.55,1.09,0.14,26,5.1,9.44,0.140811,0.067206,0.163209,0.011539,0.17759,0.04957
20/04/2011,53,6.90,3.18,0.25,2.03,3.31,1.49,0.194193,0.123228,0.091862,0.016635,0.08862,0.04285
23/04/2011,52,8.50,2.31,0.06,8.81,5.02,4.18,0.190425,0.107081,0.107941,0.021749,0.08845,0.05209
26/04/2011,52,5.09,0.8,1.6,15.59,6.34,6.81,0.285319,0.185052,1.035262,0.012446,0.04449,0.02591
29/04/2011,46.5,5.13,0.93,0.21,15.46,6.6,7,0.108954,0.044448,0.071171,0.007636,0.05502,0.06536
02/05/2011,27.5,3.70,0.7,0.03,2.18,1.62,1.03,0.118823,0.074979,0.095769,0.017391,0.01324,0.02849
05/05/2011,34,3.93,2.13,0.09,8.25,2.69,2.99,0.109302,0.067078,0.130139,0.010493,0.05216,0.03001
08/05/2011,20.3,3.07,0.48,0.09,1,1.82,0.76,0.064775,0.054616,0.176998,0.006461,0.01859,0.03873
11/05/2011,18,1.15,0.44,0.31,2.51,1.8,0.51,0.064405,0.11088,0.73938,0.007221,0.00486,0.01939
14/05/2011,14.5,1.10,0.27,0.34,1.42,1.4,0.37,0.056393,0.090491,0.583565,0.006066,0.00844,0.01084
17/05/2011,16.5,0.90,0.26,1.28,1.42,2.11,0.24,0.085326,0.188183,1.280863,0.008562,0.0108,0.0069
20/05/2011,33,2.60,0.78,0.25,3.99,2.95,1.51,0.073093,0.107595,0.610733,0.005529,0.05682,0.01816
23/05/2011,25.5,1.35,0.25,2.51,1.84,1.49,0.2,0.097518,0.273552,1.889716,0.009883,0.00539,0.01617
26/05/2011,21.5,1.57,0.28,1.13,0.88,1.05,0.12,0.090232,0.156061,0.856835,0.011873,0.00842,0.02162
29/05/2011,9,1.05,0.21,0.59,1.79,1.58,0.46,0.036201,0.050763,0.270993,0.003728,0.00776,0.01054
01/06/2011,23.5,2.68,0.71,0.06,2.07,1.81,0.81,0.072214,0.070682,0.286574,0.008499,0.01133,0.04191
04/06/2011,44,4.68,0.78,0.16,1.92,2.74,1.05,0.130364,0.091707,0.360372,0.009797,0.02212,0.06865
07/06/2011,20.5,2.09,0.55,0.15,4.89,2.15,2.07,0.076134,0.040791,0.179811,0.005101,0.02659,0.10334
10/06/2011,15.5,1.73,0.86,0.35,1.79,1.22,0.37,0.089378,0.096887,0.630022,0.011368,0.04067,0.05746
13/06/2011,11,1.48,0.22,0.02,0.24,1.29,0.46,0.054161,0.018942,0.09403,0.0013995,0.01678,0.07889
16/06/2011,11,1.08,0.27,0.98,0.63,1.31,0.28,0.094948,0.107028,0.754753,0.0013995,0.00389,0.0622
19/06/2011,15.5,0.82,0.08,2.88,1.12,1.61,0.13,0.114409,0.258107,1.959474,0.0013995,0.00462,0.01884
22/06/2011,13,1.27,0.42,0.97,0.8,1.1,0.15,0.08495,0.122297,0.832102,0.002847,0.00868,0.07108
25/06/2011,12,0.85,0.2,0.19,0.62,1.6,0.42,0.098016,0.067387,0.452457,0.0013995,0.00816,0.02234
28/06/2011,30.6,5.06,1.14,0.06,2.73,2.86,1.23,0.162217,0.101538,0.203277,0.013805,0.01473,0.13116
01/07/2011,13.5,1.81,0.39,0.06,0.91,1.84,0.64,0.083647,0.053662,0.249547,0.004762,0.00772,0.03753
04/07/2011,27.5,3.58,0.77,0.2,2.62,3.82,1.18,0.138178,0.12794,0.572353,0.010906,0.00878,0.03653
07/07/2011,14.2,1.40,0.45,0.37,0.71,1.12,0.18,0.095266,0.082336,0.481475,0.004559,0.00561,0.05995
10/07/2011,13,1.67,0.46,0.07,1.04,1.96,0.56,0.081229,0.070119,0.479419,0.0013995,0.01503,0.06015
13/07/2011,16.2,0.95,0.4,1.36,0.87,2.12,0.27,0.232193,0.193985,1.243115,0.0013995,0.00692,0.06995
16/07/2011,11.5,1.56,0.39,0.03,0.36,1.47,0.55,0.050733,0.026352,0.091613,0.0013995,0.01231,0.07141
19/07/2011,15,1.86,0.89,0.23,1.72,1.41,0.55,0.112077,0.070862,0.387314,0.004077,0.01431,0.06325
22/07/2011,10.5,1.13,0.44,0.31,0.79,1.75,0.4,0.072127,0.079532,0.521206,0.0013995,0.00545,0.03294
25/07/2011,19,2.13,0.47,0.25,2.08,2.72,1.03,0.113969,0.086416,0.476577,0.007031,0.00655,0.06138
28/07/2011,30,2.41,0.38,0.09,7.43,5.94,4.28,0.113611,0.055461,0.255884,0.00342,0.00419,0.05764
03/08/2011,51.5,5.90,0.96,0.05,14.82,4.59,5.87,0.131733,0.027617,0.103784,0.004521,0.01553,0.07234
06/08/2011,13.5,2.07,0.65,0.07,1.24,1.61,0.88,0.026958,0.003937,0.03912,0.0013995,0.01555,0.07636
12/08/2011,10,1.20,0.25,0.11,0.79,1.51,0.34,0.047613,0.035863,0.260246,0.0013995,0.00289,0.03092
15/08/2011,11,0.73,0.17,0.08,0.4,0.76,0.22,0.048944,0.025932,0.168093,0.0013995,0.0051,0.02919
24/08/2011,12.1,1.71,0.75,0.04,0.46,1.51,0.47,0.040685,0.040695,0.200327,0.0013995,0.01789,0.04608
27/08/2011,12.1,1.00,0.32,0.44,0.62,0.86,0.22,0.03724,0.069145,0.419633,0.0013995,0.00944,0.04294
30/08/2011,16.5,1.51,0.87,0.13,1.22,1.02,0.24,0.089609,0.060739,0.239412,0.004798,0.03178,0.02332
02/09/2011,37.5,5.07,1.44,0.04,3.64,3.44,1.94,0.133624,0.07859,0.143284,0.00841,0.05057,0.04479
05/09/2011,14,0.94,0.3,1.9,0.79,1.04,0.13,0.073255,0.182112,1.190366,0.0013995,0.00354,0.04478
08/09/2011,14.1,0.97,0.35,1.45,1.05,1.77,0.33,0.065542,0.158138,1.032324,0.0013995,0.01975,0.02194
11/09/2011,11.4,0.98,0.27,1.03,0.61,0.89,0.12,0.046906,0.109505,0.71661,0.0013995,0.00777,0.05203
14/09/2011,18.5,0.74,0.36,2.45,0.84,0.8,0.05,0.083095,0.217325,1.415366,0.0013995,0.00931,0.01298
17/09/2011,12.3,1.04,0.38,0.37,0.66,0.94,0.16,0.051955,0.083796,0.505407,0.0013995,0.01851,0.03163
20/09/2011,17.7,1.55,0.55,0.17,0.81,1.81,0.44,0.050423,0.079715,0.427934,0.0013995,0.01851,0.03212
23/09/2011,37.2,2.38,1.3,1.28,2.9,2.01,0.4,0.107437,0.237351,1.432966,0.00323,0.05927,0.03715
26/09/2011,27.4,2.81,1.08,0.11,1.02,1.98,0.62,0.09478,0.054746,0.188415,0.006137,0.03219,0.04275
29/09/2011,57.7,6.29,3.21,0.03,1.19,3.15,1.12,0.162961,0.069084,0.091561,0.012318,0.1281,0.07996
02/10/2011,43.5,6.81,2.96,0.04,0.88,3.09,1.2,0.153559,0.043038,0.0607,0.009559,0.13522,0.06192
05/10/2011,9,0.90,0.31,0.41,0.62,0.77,0.14,0.030442,0.060463,0.362701,0.002969,0.00923,0.03763
08/10/2011,14,1.32,0.53,0.54,1.71,0.92,0.35,0.045224,0.077807,0.584982,0.004039,0.06579,0.01745
11/10/2011,10.5,0.48,0.24,1.27,0.65,0.93,0.11,0.045196,0.116404,0.837167,0.002853,0.01153,0.01032
14/10/2011,27.5,3.47,2.08,0.2,2.71,1.86,0.81,0.088129,0.083916,0.367273,0.004204,0.19641,0.04719
17/10/2011,31.5,3.08,0.86,0.04,4.43,2.8,2.05,0.068356,0.036895,0.166298,0.004781,0.16955,0.03067
20/10/2011,24.8,3.69,1.82,0.47,1.64,0.67,0.31,0.089228,0.071941,0.403831,0.008399,0.47728,0.01631
23/10/2011,30.1,4.14,0.76,0.15,4.64,2.05,1.91,0.108864,0.039722,0.19973,0.002855,0.34278,0.04369
26/10/2011,13.5,1.81,0.79,0.24,0.8,0.56,0.18,0.046756,0.049183,0.261616,0.0013995,0.12902,0.0563
29/10/2011,24.5,3.87,0.83,0.1,4.4,1.83,1.8,0.075331,0.024556,0.101767,0.003406,0.21918,0.05577
01/11/2011,21.5,3.99,0.85,0.16,3.34,1.26,1.38,0.093088,0.017575,0.091998,0.0013995,0.2951,0.07574
04/11/2011,15,2.48,1.39,0.22,0.74,0.56,0.19,0.060173,0.041958,0.163308,0.0013995,0.15318,0.0863
07/11/2011,61.5,9.20,0.98,0.48,10.27,11.49,7.65,0.295949,0.047552,0.205957,0.004031,0.33375,0.04539
10/11/2011,33,4.39,1.24,0.12,6.1,3.02,2.78,0.102923,0.022365,0.026392,0.005785,0.25774,0.06838
13/11/2011,38.5,6.93,1.66,0.33,6.57,4.01,3.49,0.164064,0.014351,0.035266,0.00388,0.56599,0.04914
16/11/2011,37,4.67,0.66,0.24,5.51,4.41,3.5,0.127578,0.011262,0.024345,0.003904,0.34142,0.02072
19/11/2011,41.5,10.39,3.18,0.36,6.05,2.15,2.46,0.219116,0.033989,0.069164,0.005768,0.95944,0.06225
22/11/2011,64,15.55,3.99,0.51,7.67,2.3,2.69,0.307179,0.045963,0.110691,0.005932,1.33891,0.08048
25/11/2011,24.5,2.91,0.83,1.76,4.31,2.05,1.7,0.089041,0.129499,0.975002,0.005268,0.19953,0.05196
28/11/2011,31.5,7.58,2.73,1.09,4,1.94,1.63,0.131361,0.076484,0.536531,0.004755,0.79521,0.0463
